"MES_INFORMACION","REGIÓN","COMUNA","SEXO","EDAD_TRAMO","NACIONALIDAD","TITULAR_CARGA","TRAMO","BENEFICIARIOS"
202412,"De Los Lagos","Quellón","Hombre","20 a 24 años","Chilena","Titular","D",420
202412,"De Valparaíso","Quilpué","Hombre","80 a más años","Chilena","Titular","B",1357
202412,"De Valparaíso","Quilpué","Mujer","45 a 49 años","Chilena","Titular","D",1026
202412,"De Valparaíso","La Ligua","Mujer","55 a 59 años","Chilena","Titular","B",499
202412,"De Valparaíso","La Ligua","Mujer","45 a 49 años","Chilena","Titular","A",199
202412,"Metropolitana De Santiago","Lo Prado","Hombre","30 a 34 años","Chilena","Titular","D",1638
202412,"Metropolitana De Santiago","Lo Prado","Hombre","35 a 39 años","Chilena","Titular","D",1295
202412,"De Valparaíso","Quillota","Hombre","45 a 49 años","Chilena","Titular","B",812
202412,"Metropolitana De Santiago","Recoleta","Hombre","30 a 34 años","Chilena","Titular","C",808
202412,"Metropolitana De Santiago","Santiago","Mujer","50 a 54 años","Extranjera","Titular","B",1827
202412,"Metropolitana De Santiago","Santiago","Mujer","20 a 24 años","Extranjera","Titular","D",666
202412,"De La Araucanía","Victoria","Mujer","45 a 49 años","Chilena","Titular","B",482
202412,"De La Araucanía","Victoria","Hombre","70 a 74 años","Chilena","Titular","B",522
202412,"Metropolitana De Santiago","El Bosque","Hombre","60 a 64 años","Chilena","Titular","A",743
202412,"De Coquimbo","La Serena","Mujer","40 a 44 años","Chilena","Titular","D",2183
202412,"Metropolitana De Santiago","Lo Espejo","Hombre","10 a 14 años","Chilena","Carga","D",518
202412,"Metropolitana De Santiago","Lo Espejo","Hombre","45 a 49 años","Chilena","Titular","D",756
202412,"Metropolitana De Santiago","Melipilla","Hombre","45 a 49 años","Chilena","Titular","B",1313
202412,"Metropolitana De Santiago","Peñalolén","Hombre","45 a 49 años","Extranjera","Titular","B",242
202412,"Metropolitana De Santiago","Peñalolén","Hombre","60 a 64 años","Chilena","Titular","D",1428
202412,"Metropolitana De Santiago","Peñalolén","Mujer","20 a 24 años","Chilena","Titular","B",2923
202412,"De Coquimbo","Punitaqui","Mujer","45 a 49 años","Chilena","Titular","B",176
202412,"Metropolitana De Santiago","Quilicura","Hombre","05 a 09 años","Chilena","Carga","B",1571
202412,"Metropolitana De Santiago","San Pedro","Mujer","30 a 34 años","Chilena","Titular","B",144
202412,"Del Bíobío","Concepción","Mujer","10 a 14 años","Chilena","Titular","A",1509
202412,"Del Bíobío","Concepción","Mujer","60 a 64 años","Chilena","Carga","D",513
202412,"Metropolitana De Santiago","La Florida","Mujer","55 a 59 años","Chilena","Carga","B",530
202412,"Metropolitana De Santiago","Las Condes","Mujer","20 a 24 años","Chilena","Titular","B",887
202412,"Del Bíobío","Talcahuano","Mujer","20 a 24 años","Chilena","Carga","B",501
202412,"De Valparaíso","Valparaíso","Mujer","50 a 54 años","Chilena","Titular","B",3261
202412,"De La Araucanía","Villarrica","Mujer","50 a 54 años","Chilena","Titular","C",340
202412,"De Antofagasta","Antofagasta","Hombre","25 a 29 años","Chilena","Titular","D",5328
202412,"Del Bíobío","Chiguayante","Hombre","50 a 54 años","Chilena","Titular","D",904
202412,"Del Libertador General Bernardo O'Higgins","Chimbarongo","Hombre","65 a 69 años","Chilena","Titular","D",130
202412,"Metropolitana De Santiago","La Cisterna","Mujer","30 a 34 años","Chilena","Titular","B",814
202412,"Metropolitana De Santiago","La Cisterna","Mujer","35 a 39 años","Chilena","Titular","B",760
202412,"Del Maule","Constitución","Hombre","25 a 29 años","Chilena","Titular","B",515
202412,"De Tarapacá","Pozo Almonte","Hombre","15 a 19 años","Extranjera","Carga","A",36
202412,"De Los Lagos","Puerto Montt","Mujer","05 a 09 años","Chilena","Carga","A",365
202412,"De Los Lagos","Puerto Montt","Hombre","30 a 34 años","Extranjera","Titular","D",485
202412,"De Magallanes Y De La Antártica Chilena","Punta Arenas","Hombre","05 a 09 años","Chilena","Carga","D",856
202412,"De Valparaíso","Viña Del Mar","Mujer","00 a 4 años","Chilena","Carga","D",1191
202412,"De Valparaíso","Viña Del Mar","Mujer","50 a 54 años","Chilena","Carga","B",259
