codigo_nacional;altura;año;mes;dia;t_min;t_max;nombre;latitud;longitud;zona_geografica;fecha;t_med
270001;44;2013;1;2;19,1;26,1;Mataveri  Isla de Pascua Ap.;-27,15889;-109,43250;Litoral;2013-01-02;NA
270001;44;2013;1;3;18,4;26,6;Mataveri  Isla de Pascua Ap.;-27,15889;-109,43250;Litoral;2013-01-03;NA
270001;44;2013;1;4;18,8;27,2;Mataveri  Isla de Pascua Ap.;-27,15889;-109,43250;Litoral;2013-01-04;NA
270001;44;2013;1;5;17,3;26,3;Mataveri  Isla de Pascua Ap.;-27,15889;-109,43250;Litoral;2013-01-05;NA
270001;44;2013;1;6;20,4;27,3;Mataveri  Isla de Pascua Ap.;-27,15889;-109,43250;Litoral;2013-01-06;NA
270001;44;2013;1;7;19,8;26,7;Mataveri  Isla de Pascua Ap.;-27,15889;-109,43250;Litoral;2013-01-07;NA
270001;44;2013;1;8;19,6;26,5;Mataveri  Isla de Pascua Ap.;-27,15889;-109,43250;Litoral;2013-01-08;NA
270001;44;2013;1;9;22,0;26,7;Mataveri  Isla de Pascua Ap.;-27,15889;-109,43250;Litoral;2013-01-09;NA
270001;44;2013;1;10;21,0;24,9;Mataveri  Isla de Pascua Ap.;-27,15889;-109,43250;Litoral;2013-01-10;NA
270001;44;2013;1;11;18,2;26,2;Mataveri  Isla de Pascua Ap.;-27,15889;-109,43250;Litoral;2013-01-11;NA
270001;44;2013;1;12;18,8;27,2;Mataveri  Isla de Pascua Ap.;-27,15889;-109,43250;Litoral;2013-01-12;NA
270001;44;2013;1;13;20,7;26,2;Mataveri  Isla de Pascua Ap.;-27,15889;-109,43250;Litoral;2013-01-13;NA
270001;44;2013;1;14;21,0;26,4;Mataveri  Isla de Pascua Ap.;-27,15889;-109,43250;Litoral;2013-01-14;NA
270001;44;2013;1;15;21,4;25,3;Mataveri  Isla de Pascua Ap.;-27,15889;-109,43250;Litoral;2013-01-15;NA
270001;44;2013;1;16;20,7;25,2;Mataveri  Isla de Pascua Ap.;-27,15889;-109,43250;Litoral;2013-01-16;NA
270001;44;2013;1;17;20,5;25,1;Mataveri  Isla de Pascua Ap.;-27,15889;-109,43250;Litoral;2013-01-17;NA
270001;44;2013;1;18;21,0;26,3;Mataveri  Isla de Pascua Ap.;-27,15889;-109,43250;Litoral;2013-01-18;NA
270001;44;2013;1;19;19,3;27,1;Mataveri  Isla de Pascua Ap.;-27,15889;-109,43250;Litoral;2013-01-19;NA
270001;44;2013;1;20;21,2;25,3;Mataveri  Isla de Pascua Ap.;-27,15889;-109,43250;Litoral;2013-01-20;NA
270001;44;2013;1;21;20,6;27,4;Mataveri  Isla de Pascua Ap.;-27,15889;-109,43250;Litoral;2013-01-21;NA
270001;44;2013;1;22;22,4;26,6;Mataveri  Isla de Pascua Ap.;-27,15889;-109,43250;Litoral;2013-01-22;NA
270001;44;2013;1;23;22,3;27,7;Mataveri  Isla de Pascua Ap.;-27,15889;-109,43250;Litoral;2013-01-23;NA
270001;44;2013;1;24;23,4;27,5;Mataveri  Isla de Pascua Ap.;-27,15889;-109,43250;Litoral;2013-01-24;NA
270001;44;2013;1;25;19,8;26,5;Mataveri  Isla de Pascua Ap.;-27,15889;-109,43250;Litoral;2013-01-25;NA
270001;44;2013;1;26;19,6;27,3;Mataveri  Isla de Pascua Ap.;-27,15889;-109,43250;Litoral;2013-01-26;NA
270001;44;2013;1;27;22,0;25,7;Mataveri  Isla de Pascua Ap.;-27,15889;-109,43250;Litoral;2013-01-27;NA
270001;44;2013;1;28;19,5;25,8;Mataveri  Isla de Pascua Ap.;-27,15889;-109,43250;Litoral;2013-01-28;NA
270001;44;2013;1;29;20,7;26,6;Mataveri  Isla de Pascua Ap.;-27,15889;-109,43250;Litoral;2013-01-29;NA
270001;44;2013;1;30;21,4;27,1;Mataveri  Isla de Pascua Ap.;-27,15889;-109,43250;Litoral;2013-01-30;NA
270001;44;2013;1;31;21,5;26,0;Mataveri  Isla de Pascua Ap.;-27,15889;-109,43250;Litoral;2013-01-31;NA
270008;197;2013;1;1;13,6;22,3;Desierto de Atacama, Caldera  Ad.;-27,25444;-70,78111;Secano Costero;2013-01-01;NA
270008;197;2013;1;2;15,3;22,8;Desierto de Atacama, Caldera  Ad.;-27,25444;-70,78111;Secano Costero;2013-01-02;NA
270008;197;2013;1;3;11,9;22,9;Desierto de Atacama, Caldera  Ad.;-27,25444;-70,78111;Secano Costero;2013-01-03;NA
270008;197;2013;1;4;13,8;22,5;Desierto de Atacama, Caldera  Ad.;-27,25444;-70,78111;Secano Costero;2013-01-04;NA
270008;197;2013;1;5;14,9;21,2;Desierto de Atacama, Caldera  Ad.;-27,25444;-70,78111;Secano Costero;2013-01-05;NA
270008;197;2013;1;6;13,0;22,4;Desierto de Atacama, Caldera  Ad.;-27,25444;-70,78111;Secano Costero;2013-01-06;NA
270008;197;2013;1;7;15,2;22,8;Desierto de Atacama, Caldera  Ad.;-27,25444;-70,78111;Secano Costero;2013-01-07;NA
270008;197;2013;1;8;15,4;23,1;Desierto de Atacama, Caldera  Ad.;-27,25444;-70,78111;Secano Costero;2013-01-08;NA
270008;197;2013;1;9;14,7;23,4;Desierto de Atacama, Caldera  Ad.;-27,25444;-70,78111;Secano Costero;2013-01-09;NA
