...1;nombre;region;provincia;comuna;hogares;hectareas;area;observaciones;año;tipo
1027;Pasaje Lan;Los Ríos;Valdivia;Valdivia;15;0,79682047;4708,287126935;CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE;CATASTRO_2011;normales
1028;Estación Lonquén;Metropolitana;Talagante;Isla de Maipo;36;6,59429157;45504,429481390;CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE;CATASTRO_2011;normales
1030;Pasaje Geywits;Los Ríos;Valdivia;Valdivia;33;2,74269672;16197,651423125;CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE;CATASTRO_2011;normales
1031;Arturo Prat;Los Ríos;Valdivia;Valdivia;110;3,51758198;20777,924099160;CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES;CATASTRO_2011;grandes
1032;Eladio Rojas;Los Ríos;Valdivia;Valdivia;138;2,32384290;13714,962473640;CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES;CATASTRO_2011;grandes
1034;Línea Férrea 1;Los Ríos;Valdivia;Panguipulli;26;0,36870706;2186,266380540;CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES;CATASTRO_2019;normales
1036;Línea Férrea 2;Los Ríos;Valdivia;Panguipulli;44;8,94812058;53045,234793350;CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES;CATASTRO_2019;normales
1037;Las Vertientes;Los Ríos;Valdivia;Los Lagos;15;1,55465742;9166,505710765;CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE;CATASTRO_2019;normales
1038;Las Lajas;Los Ríos;Valdivia;Los Lagos;158;25,91871309;152833,217765270;CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE;CATASTRO_2019;grandes
1040;Cancha Municipal;Los Ríos;Ranco;Río Bueno;37;4,36323170;25376,696407050;CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE;CATASTRO_2019;normales
1042;Piruco;Los Ríos;Ranco;Río Bueno;13;2,46450079;14331,940773765;CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE;CATASTRO_2019;normales
1046;Ruta 5;Los Ríos;Valdivia;Paillaco;13;0,82688257;4845,111830155;CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES;CATASTRO_2019;normales
1047;Toma Mauricio Fredes;Metropolitana;Santiago;Quilicura;92;1,59749029;11106,968545140;NUEVO CAMPAMENTO;NA;grandes
1048;Arturo Prat II;Los Ríos;Valdivia;Valdivia;16;1,51180239;8929,770986290;CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE;CATASTRO_2019;normales
1049;Colo Colo;Metropolitana;Santiago;Quilicura;12;1,08551975;7550,523002885;NUEVO CAMPAMENTO NO PRIORIZADO A VALIDAR;NA;normales
1050;Cuatro Vientos, Vivanco;Los Ríos;Ranco;Río Bueno;21;16,91292092;98211,384340240;CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES;CATASTRO_2019;normales
1052;Norte Grande 3 (Tarapacá);Los Ríos;Valdivia;Valdivia;71;5,13106565;30317,671385445;CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE;CATASTRO_2019;grandes
1053;La Aldeas Las Mulatas;Los Ríos;Valdivia;Valdivia;107;3,89563688;22995,393747810;CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES;CATASTRO_2022;grandes
1055;La Estrella;Los Ríos;Valdivia;Valdivia;30;0,95493460;5635,799158665;CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES;CATASTRO_2022;normales
1057;Santo Domingo;Los Ríos;Valdivia;Valdivia;31;9,50896593;56031,357092230;CAMPAMENTO EN CATASTRO NACIONAL 2022;CATASTRO_2022;normales
1060;El Milagro;Los Ríos;Valdivia;Mariquina;25;1,14934330;6842,032612615;CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES;CATASTRO_2022;normales
1062;El Rinconcito;Los Ríos;Valdivia;Mariquina;25;1,43174212;8522,980218775;CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES;CATASTRO_2022;normales
1064;Villa Rio Cruces;Los Ríos;Valdivia;Mariquina;24;1,26738993;7543,705871075;CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE;CATASTRO_2022;normales
1065;Los Ciruelos;Los Ríos;Valdivia;Mariquina;33;3,70842045;22067,070660590;CAMPAMENTO EN CATASTRO NACIONAL 2022;CATASTRO_2022;normales
1076;Trabún;Metropolitana;Melipilla;Melipilla;45;2,02233856;13965,432998430;NUEVO CAMPAMENTO;NA;normales
1077;San Carlos;Metropolitana;Melipilla;Melipilla;14;0,43029743;2970,163780565;NUEVO CAMPAMENTO;NA;normales
1078;Donal Canter;Los Ríos;Valdivia;Valdivia;13;0,36423760;2150,782504820;NUEVO CAMPAMENTO NO PRIORIZADO A VALIDAR;NA;normales
1079;Las Riberas del Río;Metropolitana;Melipilla;Melipilla;44;2,33959778;16148,262348820;NUEVO CAMPAMENTO;NA;normales
1082;Esperanza 2001;Arica y Parinacota;Arica;Arica;59;1,07947389;9653,256422225;CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE;CATASTRO_2019;grandes
1084;Bajo El Pedregal;Arica y Parinacota;Arica;Arica;15;1,94010263;17348,236983560;CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE;CATASTRO_2019;normales
1086;Villa Los Laureles;Arica y Parinacota;Arica;Arica;478;6,02991896;53942,703801850;CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE;CATASTRO_2019;grandes
1087;La Lucha Es Posible;Antofagasta;Antofagasta;Antofagasta;47;1,52040358;12715,592131650;CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES;CATASTRO_2011;normales
1088;Villa El Amanecer;Arica y Parinacota;Arica;Arica;58;3,75547368;33594,361205595;CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE;CATASTRO_2019;grandes
1089;Alto Mendoza;Antofagasta;Antofagasta;Antofagasta;61;1,14859728;9589,311149245;CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE;CATASTRO_2011;grandes
1090;Areneros III;Arica y Parinacota;Arica;Arica;62;1,20031152;10732,875875410;CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE;CATASTRO_2022;grandes
1091;Aurora Esperanza;Antofagasta;Antofagasta;Antofagasta;207;4,19286343;35010,079594570;CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE;CATASTRO_2011;grandes
1092;Quebrada Caunire;Arica y Parinacota;Arica;Arica;164;22,61505861;202499,175779205;CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE;CATASTRO_2022;grandes
1093;Juanita Cruchaga;Antofagasta;Antofagasta;Antofagasta;172;3,13013722;26149,203678075;CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE;CATASTRO_2011;grandes
